# wind_disasters.csv,,,,,,,,,,
# file format as follows,,,,,,,,,,
# type,event_name ,num_killed ,damage ,start_year ,start_month ,start_day ,iso ,country_name ,region ,continent 
Cyclone , ,5000,0,1941,5,21,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,61000,0,1942,10,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,500,0,1947,10,21,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,200,0,1951,5,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1958,5,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,500,0,1958,10,20,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,3000,0,1960,10,9,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,5149,0,1960,10,30,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,11000,11900,1961,5,9,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1961,5,30,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,266,0,1961,3,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,11500,46500,1963,5,28,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,79,0,1963,10,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,300,250,1964,4,12,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,36000,57700,1965,5,11,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,12047,0,1965,6,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,874,0,1965,12,15,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,850,22400,1966,10,1,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,50,0,1967,5,2,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,41,0,1967,10,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,118,1500,1968,4,11,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,849,8329,1969,4,14,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,17,0,1970,4,13,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,300,0,1970,10,23,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,300000,86400,1970,11,12,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,163,0,1971,5,8,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,200,0,1972,4,2,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,200,0,1973,4,12,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,1000,0,1973,12,9,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,700,0,1973,4,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,2500,0,1974,8,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1974,11,28,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,300,0,1974,3,0,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,46,0,1976,4,10,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,1,201,1976,5,9,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,600,50000,1977,4,1,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,13,0,1977,4,24,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,21,0,1977,10,6,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,1000,0,1978,4,9,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,30,0,1978,5,5,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,3,0,1979,5,2,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,50,0,1979,8,17,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,11,0,1980,4,0,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,70,0,1981,4,15,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,1000,0,1981,12,11,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,15,0,1981,3,6,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,6,0,1983,3,21,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,12,0,1983,4,26,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,600,0,1983,10,15,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,67,0,1983,11,13,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,50,0,1985,3,28,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,10000,0,1985,5,25,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,71,0,1985,10,16,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,100,0,1986,4,4,BGD ,Bangladesh ,South Asia ,Asia 
Tropical storm , ,40,0,1986,9,26,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,25,0,1986,11,9,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,19,0,1986,3,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,12,0,1987,6,4,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,28,0,1988,5,23,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,5,0,1988,6,13,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,31,0,1988,10,19,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,1000,0,1988,11,29,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,800,16200,1989,4,26,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,15,0,1989,5,26,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,19,0,1990,5,2,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,54,0,1990,4,22,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,250,0,1990,12,21,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone ,Ofa ,370,0,1990,10,8,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone ,Gorky ,138866,1780000,1991,4,29,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,121,0,1991,5,7,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,7,0,1992,1,31,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,16,0,1992,4,22,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,31,0,1993,1,12,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,14,0,1993,5,13,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,8,0,1993,2,19,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,300,0,1993,3,27,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,9,0,1993,5,7,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,25,0,1993,5,17,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,50,0,1993,1,9,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,15,0,1993,5,9,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,130,125000,1994,5,2,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,40,2500,1994,3,28,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,20,0,1994,4,19,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,15,0,1994,5,18,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,69,0,1995,4,12,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,6,0,1995,4,12,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,525,800000,1995,5,15,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,172,0,1995,11,25,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,525,0,1996,5,12,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,60,0,1996,7,27,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,17,0,1996,4,23,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,24,0,1996,10,29,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone ,One Bravo (01B) ,111,0,1997,5,18,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone ,Two B ,188,0,1997,9,27,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,15,0,1997,10,12,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,11,0,1997,3,23,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,100,0,1997,8,27,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,14,0,1998,4,23,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone ,01B ,19,0,1998,5,20,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone ,07B ,200,0,1998,11,25,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,28,0,1998,3,23,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,60,0,1998,7,3,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,7,0,1999,4,7,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,2,0,1999,3,26,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,3,0,1999,5,7,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone ,05B ,0,0,1999,10,25,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,66,0,1999,4,10,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,0,0,2000,3,5,BGD ,Bangladesh ,South Asia ,Asia 
Tropical storm , ,20,0,2000,4,21,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,0,0,2000,4,11,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,36,0,2000,5,27,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,28,0,2000,5,23,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,0,0,2000,6,25,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,15,0,2000,10,28,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,12,0,2001,5,11,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,193,0,2001,4,1,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,21,0,2001,4,28,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,12,0,2001,10,5,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,32,0,2002,3,25,BGD ,Bangladesh ,South Asia ,Asia 
Tropical storm , ,31,0,2002,4,22,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,10,0,2002,7,14,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,49,0,2002,11,14,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,9,0,2003,4,16,BGD ,Bangladesh ,South Asia ,Asia 
Tropical storm , ,23,0,2003,5,4,BGD ,Bangladesh ,South Asia ,Asia 
Tropical storm , ,28,0,2003,12,20,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,76,0,2004,4,14,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,153,0,2004,6,12,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,10,0,2004,5,13,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,0,0,2004,7,17,BGD ,Bangladesh ,South Asia ,Asia 
Tornado , ,79,0,2005,3,20,BGD ,Bangladesh ,South Asia ,Asia 
Tropical storm , ,11,0,2005,3,31,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,10,0,2005,5,21,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,2,0,2005,5,14,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,11,0,2005,5,6,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,35,0,2005,6,30,BGD ,Bangladesh ,South Asia ,Asia 
Storm , ,16,0,2005,9,20,BGD ,Bangladesh ,South Asia ,Asia 
Hurricane ,Janet ,57,0,1955,9,22,BRB ,Barbados ,Caribbean ,Americas 
Hurricane ,Allen ,0,1500,1980,7,31,BRB ,Barbados ,Caribbean ,Americas 
Hurricane ,Emily ,0,100000,1987,0,0,BRB ,Barbados ,Caribbean ,Americas 
Hurricane ,Marylin ,0,0,1995,9,18,BRB ,Barbados ,Caribbean ,Americas 
Hurricane ,Lili ,0,0,2002,9,24,BRB ,Barbados ,Caribbean ,Americas 
Hurricane ,Ivan ,1,0,2004,9,8,BRB ,Barbados ,Caribbean ,Americas 
Hurricane , ,5,150000,1997,6,23,BLR ,Belarus ,Russian Federation ,Europe 
Storm , ,60,0,1930,12,2,BEL ,Belgium ,European Union ,Europe 
Tornado , ,0,0,1966,6,17,BEL ,Belgium ,European Union ,Europe 
Tornado , ,0,0,1967,6,25,BEL ,Belgium ,European Union ,Europe 
Storm , ,0,0,1972,11,0,BEL ,Belgium ,European Union ,Europe 
Winter , ,0,0,1976,1,2,BEL ,Belgium ,European Union ,Europe 
Tornado , ,0,0,1982,9,20,BEL ,Belgium ,European Union ,Europe 
Storm , ,0,0,1984,11,21,BEL ,Belgium ,European Union ,Europe 
Storm , ,0,0,1985,8,0,BEL ,Belgium ,European Union ,Europe 
Winter ,Daria ,15,1038345,1990,1,0,BEL ,Belgium ,European Union ,Europe 
Tornado , ,0,486,1999,8,14,BEL ,Belgium ,European Union ,Europe 
Storm , ,1,0,2002,10,26,BEL ,Belgium ,European Union ,Europe 
Hurricane , ,1500,7500,1931,9,10,BLZ ,Belize ,Central America ,Americas 
Hurricane ,Janet ,16,5000,1955,9,28,BLZ ,Belize ,Central America ,Americas 
